Accounting_and_Auditing,Advertising_and_Marketing,Aerospace_and_Defense,Aging_and_Geriatrics,Agriculture_and_Forestry,Air_Travel,Alcoholic_Beverages,Alternative_and_Natural_Medicine,Animal_Products_and_Services,Antiques_and_Collectibles,Apartments_and_Residential_Rentals,Apparel,Arcade_and_Coin-Op_Games,Arts_and_Entertainment,Astronomy,Auctions,Automotive_Industry,Autos_and_Vehicles,Banking,Beauty_and_Fitness,Beauty_Pageants,Bed_and_Bath,Bicycles_and_Accessories,Biographies_and_Quotations,Biological_Sciences,Blogging_Resources_and_Services,Board_Games,Boats_and_Watercraft,Body_Art,Book_Retailers,Books_and_Literature,Bowling,Broadcast_and_Network_News,Bus_and_Rail,Business_and_Industrial,Business_Education,Business_Finance,Business_News,Business_Operations,Business_Services,CAD_and_CAM,Campers_and_RVs,Candy_and_Sweets,Car_Rental_and_Taxi_Services,Card_Games,Carpooling_and_Ridesharing,Celebrities_and_Entertainment_News,Chemicals_Industry,Chemistry,Children's_Literature,Classic_Vehicles,Classifieds,Clubs_and_Nightlife,Clubs_and_Organizations,College_Sports,Combat_Sports,Comics_and_Animation,Commercial_and_Investment_Real_Estate,Commercial_Vehicles,Communications_Equipment,Computer_and_Video_Games,Computer_Hardware,Computer_Science,Computer_Security,Computers_and_Electronics,Construction_and_Maintenance,Consumer_Electronics,Consumer_Resources,"Contests,_Awards_and_Prizes",Cooking_and_Recipes,Cosmetic_Procedures,Cosmetology_and_Beauty_Professionals,Crafts,Credit_and_Lending,Cruises_and_Charters,Culinary_Training,Currencies_and_Foreign_Exchange,Custom_and_Performance_Vehicles,Cycling,Dating_and_Personals,Directories_and_Listings,Disabled_and_Special_Needs,Domestic_Services,Earth_Sciences,E-Books,Ecology_and_Environment,Education,Electronics_and_Electrical,Email_and_Messaging,Energy_and_Utilities,Engineering_and_Technology,Enterprise_Technology,Entertainment_Industry,Entertainment_Media,Ethnic_and_Identity_Groups,Events_and_Listings,Extreme_Sports,Face_and_Body_Care,Family_and_Relationships,Family-Oriented_Games_and_Activities,Fan_Fiction,Fantasy_Sports,Fashion_and_Style,File_Sharing_and_Hosting,Finance,Financial_Planning,Fitness,Food_and_Drink,Forum_and_Chat_Providers,Fun_and_Trivia,Games,Gardening_and_Landscaping,General_Reference,Geographic_Reference,Gifts_and_Special_Event_Items,Gossip_and_Tabloid_News,Government,Grants_and_Financial_Assistance,Grocery_and_Food_Retailers,Hair_Care,Health,Health_Conditions,Health_Education_and_Medical_Training,Health_Foundations_and_Medical_Research,Health_News,Hobbies_and_Leisure,Home_and_Garden,Home_Appliances,Home_Furnishings,Home_Improvement,Home_Storage_and_Shelving,Homemaking_and_Interior_Decor,Hospitality_Industry,Hotels_and_Accommodations,Humanities,Humor,HVAC_and_Climate_Control,Hybrid_and_Alternative_Vehicles,Individual_Sports,Industrial_Materials_and_Equipment,Insurance,Internet_and_Telecom,Investing,Jobs,Jobs_and_Education,Journalism_and_News_Industry,Kids_and_Teens,Kitchen_and_Dining,Language_Resources,Laundry,Law_and_Government,Legal,Libraries_and_Museums,Literary_Classics,Live_Sporting_Events,Local_News,Luggage_and_Travel_Accessories,Luxury_Goods,Magazines,Manufacturing,Mass_Merchants_and_Department_Stores,Mathematics,Medical_Devices_and_Equipment,Medical_Facilities_and_Services,Medical_Literature_and_Resources,Men's_Health,Mental_Health,Metals_and_Mining,Microcars_and_City_Cars,Military,Mobile_and_Wireless,Motor_Sports,Motorcycles,Movies,Music_and_Audio,Networking,News,Newspapers,Non-Alcoholic_Beverages,Nursery_and_Playroom,Nursing,Nutrition,Offbeat,Off-Road_Vehicles,Online_Communities,Online_Games,Online_Goodies,Online_Journals_and_Personal_Sites,Online_Media,Oral_and_Dental_Care,Outdoors,Paintball,Party_Games,Pediatrics,People_and_Society,Performing_Arts,Personal_Aircraft,Pest_Control,Pets,Pets_and_Animals,Pharmaceuticals_and_Biotech,Pharmacy,Photo_and_Video_Services,Photo_and_Video_Sharing,Photographic_and_Digital_Arts,Physics,Poetry,Politics,Printing_and_Publishing,Professional_and_Trade_Associations,Programming,Property_Development,Property_Inspections_and_Appraisals,Property_Management,Public_Health,Public_Safety,Puzzles_and_Brainteasers,Radio_Control_and_Modeling,Real_Estate,Real_Estate_Agencies,Real_Estate_Listings,Recreational_Aviation,Reference,Religion_and_Belief,Reproductive_Health,Restaurants,Retail_Trade,Retirement_and_Pension,Roleplaying_Games,Running_and_Walking,Science,Scientific_Equipment,Scientific_Institutions,Scooters_and_Mopeds,Search_Engines,Seniors_and_Retirement,Service_Providers,Shopping,Shopping_Portals_and_Search_Engines,Small_Business,Social_Issues_and_Advocacy,Social_Networks,Social_Sciences,Social_Services,Software,Spas_and_Beauty_Services,Special_Occasions,Specialty_Travel,Sporting_Goods,Sports,Sports_Coaching_and_Training,Sports_News,Subcultures_and_Niche_Interests,Substance_Abuse,Swap_Meets_and_Outdoor_Markets,Swimming_Pools_and_Spas,Table_Games,Team_Sports,Technical_Reference,Technology_News,Teleconferencing,Textiles_and_Nonwovens,Ticket_Sales,Timeshares_and_Vacation_Properties,Tobacco_Products,Tourist_Destinations,Toys,Transportation_and_Logistics,Travel,Travel_Agencies_and_Services,Travel_Guides_and_Travelogues,Trucks_and_SUVs,TV_and_Video,Vehicle_Brands,Vehicle_Codes_and_Driving_Laws,Vehicle_Licensing_and_Registration,Vehicle_Maintenance,Vehicle_Parts_and_Accessories,Vehicle_Shopping,Vehicle_Shows,Virtual_Worlds,Vision_Care,Visual_Art_and_Design,Water_Activities,Water_Sports,Weather,Web_Apps_and_Online_Tools,Web_Portals,Web_Services,Weight_Loss,Wholesalers_and_Liquidators,Wildlife,Winter_Sports,Women's_Health,World_News,World_Sports_Competitions,Writers_Resources,Yard_and_Patio,
75,50,75,40,55,80,63,68,66,62,91,52,92,48,57,41,49,38,44,52,64,44,48,51,54,57,47,46,55,55,66,56,50,53,53,31,65,19,57,58,71,40,61,54,52,54,59,48,51,44,19,58,51,33,51,29,58,61,59,27,55,64,68,38,59,63,55,55,80,56,49,61,44,55,42,51,55,55,57,63,60,46,48,40,27,46,41,42,39,54,0,13,76,27,96,96,74,65,48,62,66,77,49,53,44,44,68,31,57,47,71,52,60,44,60,87,82,37,52,62,46,61,52,63,34,62,46,39,45,73,78,60,53,75,52,56,65,62,58,57,54,66,69,54,49,50,59,62,25,50,29,50,29,54,41,38,46,34,33,52,41,59,51,51,32,50,51,54,51,49,46,44,57,59,48,25,30,79,37,85,79,60,67,56,85,42,46,73,70,72,63,57,59,54,69,36,58,95,44,49,50,72,22,68,43,61,73,24,64,79,56,66,81,82,25,61,60,59,48,65,59,58,69,55,37,67,52,32,58,59,54,45,55,61,48,64,46,65,79,73,56,34,77,50,43,52,18,50,66,38,46,35,44,68,66,100,41,57,63,63,85,63,51,45,25,48,70,60,55,59,64,54,46,53,67,49,53,22,66,44,38,50,66,58,25,25,5,47,47,64,42,54,41,46,49,55,45,45,59
75,49,77,33,57,83,66,72,66,76,93,52,99,47,54,75,42,32,37,48,64,46,42,53,48,56,46,39,57,51,70,52,50,51,54,31,65,21,54,58,69,42,59,52,50,53,59,53,56,38,21,59,47,38,52,32,66,65,64,27,57,66,64,49,60,65,59,55,72,55,50,60,46,54,43,51,56,53,59,61,59,43,48,40,26,46,44,41,41,47,6,13,78,28,89,89,90,71,43,64,82,72,53,53,48,49,66,33,57,51,76,54,67,43,63,90,85,39,55,64,52,59,56,63,34,59,48,47,43,76,82,62,59,75,54,59,67,64,61,60,56,62,68,56,50,54,58,59,23,54,23,51,30,55,42,39,47,40,44,58,33,50,50,53,28,52,48,54,49,47,50,43,55,54,43,19,26,79,36,80,78,60,63,65,81,40,48,67,65,69,66,69,62,53,68,35,61,98,43,53,48,75,29,59,30,63,71,25,63,81,55,67,78,85,26,77,64,61,52,62,65,64,68,60,39,66,55,35,52,54,51,41,56,63,44,62,46,66,77,74,51,38,78,50,43,52,19,55,69,39,48,39,45,66,59,39,42,60,75,62,82,64,51,48,24,51,72,55,50,55,62,55,48,52,61,51,52,21,47,36,36,45,66,53,21,21,3,47,47,58,39,51,37,42,42,50,45,46,56
73,48,79,32,55,89,61,75,64,60,95,52,92,50,49,100,37,27,32,43,57,41,37,47,38,54,45,35,56,47,62,43,47,54,50,28,60,19,51,54,62,40,54,51,50,50,61,51,53,40,20,57,47,40,47,32,66,53,56,27,47,58,51,31,52,55,48,49,61,50,48,52,41,47,34,45,45,52,56,55,56,43,42,40,26,52,40,39,35,45,8,12,63,23,79,79,69,54,42,54,53,55,56,54,48,56,62,33,60,47,84,51,64,45,71,94,89,48,56,71,54,55,55,58,31,53,42,40,38,64,75,57,54,68,52,53,58,61,50,59,54,57,61,55,50,56,58,53,23,56,20,45,32,55,48,40,43,32,41,52,30,53,54,47,23,59,51,51,51,49,46,51,55,54,32,16,24,76,36,81,81,56,61,60,77,37,44,59,59,62,61,63,54,49,61,35,53,87,39,43,47,66,25,60,27,60,76,23,62,80,54,67,76,85,29,86,59,54,49,58,68,56,62,57,37,63,56,32,47,48,42,37,44,50,39,53,40,57,68,63,47,36,69,46,38,44,20,45,56,33,46,35,42,56,54,32,38,65,64,59,79,72,56,46,24,70,74,46,47,45,63,52,64,71,58,63,52,19,41,31,31,39,69,49,17,17,2,41,44,54,37,45,35,37,46,41,40,43,53
78,54,80,36,58,88,58,79,66,54,100,55,89,54,51,95,35,27,29,47,57,41,36,54,38,63,44,33,59,50,65,46,48,59,54,22,65,22,53,52,64,46,61,54,52,58,61,47,50,56,21,59,52,36,53,30,56,54,56,25,46,55,48,27,51,57,46,47,59,50,48,52,38,48,35,48,40,52,51,51,66,49,39,46,30,65,42,39,35,48,0,12,70,27,88,88,67,54,45,55,52,60,57,64,60,58,69,33,58,49,91,56,71,45,82,99,98,68,61,72,58,51,49,58,29,54,37,31,40,62,73,56,48,69,46,57,53,64,47,56,52,57,58,65,52,61,59,50,28,58,20,46,34,54,56,50,44,24,65,53,31,53,59,46,21,67,49,50,51,48,46,60,58,54,29,17,23,82,40,87,83,59,70,61,84,36,46,57,55,59,56,48,53,52,57,37,44,66,40,44,68,62,7,59,47,51,79,25,63,88,58,67,78,90,32,94,57,52,44,57,68,57,65,55,31,66,56,30,47,48,41,37,44,52,39,52,45,57,74,62,52,32,63,44,38,38,20,38,44,32,42,31,38,50,44,31,36,74,72,64,77,86,65,60,28,88,80,57,56,47,83,52,79,74,60,52,58,22,29,29,29,32,80,47,18,18,2,45,52,59,42,48,36,38,59,44,43,48,54
72,47,75,46,57,79,53,74,62,55,88,49,89,43,53,46,32,31,37,49,56,43,36,49,38,68,48,27,59,49,68,47,44,50,54,42,64,31,53,57,65,41,55,64,52,54,86,44,54,53,18,54,47,34,44,29,40,56,56,25,44,64,47,30,56,56,47,51,62,50,48,51,40,47,43,47,50,48,56,53,57,45,44,40,28,48,41,38,37,46,6,14,76,51,84,84,63,56,59,60,47,64,51,50,41,47,68,29,54,48,75,50,61,41,65,85,85,36,51,66,50,55,49,62,31,58,41,33,41,65,76,61,46,69,62,58,61,61,65,54,51,61,61,52,49,66,57,55,26,52,19,46,29,54,38,41,47,28,31,50,34,50,56,45,22,54,50,49,51,56,47,47,58,60,28,18,19,85,38,84,71,61,65,62,77,38,46,62,61,73,63,57,53,50,65,37,44,77,42,45,69,62,9,57,38,47,76,26,62,84,53,57,89,80,36,82,59,53,44,62,62,56,69,50,31,69,56,30,59,57,47,41,48,58,42,61,56,56,74,66,47,30,66,45,39,42,18,36,43,34,43,31,42,50,46,33,39,56,55,60,85,67,61,40,23,50,64,54,43,46,68,50,42,54,55,44,51,23,16,34,24,37,62,45,17,17,2,48,49,51,39,46,48,41,43,49,47,56,60
74,59,74,63,55,84,53,71,62,55,92,51,91,45,51,54,37,34,40,49,60,44,35,50,42,57,48,30,58,47,66,47,45,50,52,41,68,19,56,63,69,39,57,60,51,56,73,49,53,37,19,58,44,41,47,37,59,60,54,27,48,60,48,35,57,59,51,53,59,51,47,54,43,50,42,47,51,52,58,55,59,42,47,41,26,42,43,39,38,48,0,11,78,65,86,86,64,55,67,57,47,67,49,49,46,48,67,29,54,52,75,55,57,42,63,96,86,36,54,61,49,58,50,61,32,57,44,40,42,70,79,59,51,71,55,62,63,62,66,63,61,62,64,55,47,64,59,54,26,50,23,45,29,54,38,38,47,29,36,47,39,48,49,47,27,52,47,52,45,50,41,42,53,52,30,19,24,75,37,86,71,53,62,67,82,37,46,63,59,72,64,59,58,51,65,38,42,61,48,46,52,65,6,56,34,47,76,30,63,85,53,53,82,78,38,72,59,56,49,68,64,54,69,55,37,63,57,33,58,56,48,39,52,57,43,62,53,67,80,67,51,36,71,49,41,47,20,46,55,35,49,34,42,65,54,35,42,53,55,59,88,67,53,46,24,45,65,44,43,47,65,53,42,49,55,42,51,25,17,36,22,54,54,43,35,35,2,49,48,49,43,46,45,42,40,50,48,53,61
70,56,75,34,56,83,54,69,61,55,87,52,93,45,53,65,42,38,46,48,65,40,38,52,48,54,47,33,58,48,68,49,49,50,54,37,64,19,58,60,70,39,53,59,52,56,70,50,51,37,23,63,43,40,46,36,60,58,51,30,54,63,50,33,58,58,51,52,62,51,46,56,44,51,42,49,54,51,59,54,55,43,45,40,27,41,43,36,37,44,0,13,78,53,84,84,66,57,60,59,53,69,48,49,42,44,65,29,54,47,73,53,55,42,62,92,79,35,54,60,47,59,52,61,33,59,46,37,41,69,82,60,50,72,58,59,63,61,56,58,56,61,64,52,47,60,57,54,25,48,24,51,31,54,37,37,47,32,30,49,39,49,49,47,39,49,46,51,47,46,41,41,52,51,37,24,33,78,35,86,68,55,61,64,77,38,48,63,60,67,62,54,54,53,68,39,41,60,44,46,55,64,6,70,33,49,78,41,62,86,56,49,88,77,41,77,59,55,46,64,67,53,68,54,33,63,54,35,58,57,45,40,53,55,45,65,52,64,79,65,50,36,69,49,39,45,20,48,50,34,52,37,42,60,52,34,41,50,54,57,86,66,51,39,24,43,66,41,48,52,74,65,38,49,66,54,52,22,26,37,23,47,54,46,20,20,2,51,52,50,48,46,44,44,41,52,50,51,66
72,49,75,32,57,83,53,73,62,55,91,52,98,46,54,72,45,40,46,47,63,44,40,48,50,49,46,38,56,51,70,49,48,51,49,35,65,30,56,60,61,38,52,59,52,54,67,49,51,35,19,60,44,41,43,39,63,59,56,28,55,56,47,29,54,55,53,55,62,52,47,55,42,52,40,49,51,52,55,53,59,40,46,37,27,40,43,37,38,45,0,11,72,53,82,82,59,53,53,55,46,66,49,48,45,43,63,29,55,47,73,54,52,44,61,88,86,36,52,63,49,55,52,60,35,56,50,36,42,71,83,60,54,71,57,57,64,61,59,58,57,59,62,52,40,51,55,54,27,44,26,48,32,56,39,36,46,38,33,50,40,51,47,51,51,49,42,50,43,40,43,43,50,46,45,28,40,78,35,88,68,55,58,61,74,38,46,57,60,64,60,49,54,53,68,35,40,60,43,50,48,62,6,63,36,54,78,48,62,83,56,51,80,77,43,71,58,56,46,61,64,56,67,56,34,64,56,37,56,57,44,39,55,57,45,63,47,60,75,65,49,34,68,47,41,48,18,50,47,37,49,44,41,61,54,32,39,51,57,53,88,64,50,47,22,41,66,41,48,61,73,63,40,48,57,34,53,21,24,43,25,51,55,48,18,18,2,47,49,50,45,48,43,42,41,50,50,50,64
67,47,70,30,57,91,48,66,61,51,89,46,95,41,54,73,47,44,49,48,62,43,36,42,50,44,42,35,56,53,61,48,51,48,49,35,64,31,56,59,68,39,51,56,54,53,63,47,51,35,18,56,42,35,46,34,48,51,48,26,53,52,43,22,51,53,51,51,58,41,41,50,38,44,34,44,45,48,51,51,57,39,40,35,22,38,38,34,37,42,0,10,61,24,77,77,58,44,45,48,41,51,48,49,39,41,62,29,51,44,74,49,51,43,58,97,83,36,52,58,49,57,47,57,33,56,40,32,37,65,75,57,48,63,51,54,62,57,51,55,52,52,59,53,39,46,54,47,25,44,26,54,29,53,40,34,44,35,34,52,43,53,48,52,54,47,43,50,42,42,44,38,50,47,56,38,45,72,33,84,67,59,55,57,71,37,42,56,54,63,51,43,49,50,57,34,36,51,44,44,45,61,5,54,32,47,78,40,58,84,63,46,74,73,44,67,55,51,43,58,65,48,63,49,29,61,52,37,56,55,40,35,50,55,43,60,51,55,75,58,47,32,61,42,36,41,19,44,39,34,46,34,38,52,45,31,36,49,52,49,85,61,46,51,24,41,67,41,50,64,72,54,38,49,55,25,50,23,20,42,23,55,48,44,20,20,2,47,47,49,43,47,41,43,43,51,52,45,62
68,49,66,30,65,79,47,64,61,46,87,44,80,38,54,68,48,48,50,45,63,39,35,39,49,42,44,34,55,49,67,51,47,51,49,34,60,20,56,58,65,36,47,56,50,49,60,36,45,35,17,51,44,25,41,23,28,51,46,24,51,49,42,22,47,50,46,53,55,46,45,51,37,43,36,44,42,49,53,46,58,38,37,34,21,39,38,35,35,41,0,16,60,22,78,78,55,45,44,54,38,53,43,48,40,39,56,28,46,43,72,45,46,44,58,89,80,33,44,61,48,51,43,55,29,58,38,34,37,66,74,56,41,65,49,54,60,55,49,53,47,56,59,50,37,44,54,50,23,39,27,55,28,49,37,32,45,31,28,43,46,47,51,47,40,47,41,50,45,40,51,38,49,46,57,42,36,76,34,86,78,46,63,55,69,39,43,48,45,62,52,43,49,46,58,33,36,56,39,41,47,63,5,54,33,77,73,39,57,79,60,45,76,75,41,64,51,48,37,59,59,46,62,46,24,59,48,31,54,56,40,32,50,56,44,61,57,50,68,55,47,21,54,43,35,34,13,35,28,33,36,26,38,38,34,29,34,49,47,49,85,62,47,44,21,39,62,39,48,61,70,51,38,47,52,20,50,21,19,47,22,47,46,41,22,22,2,48,49,53,47,54,43,43,40,52,54,49,63
64,44,71,30,68,77,44,65,57,51,90,41,82,36,54,39,51,51,54,46,62,39,32,39,47,43,46,34,61,51,69,51,48,51,53,40,62,18,60,57,65,36,47,54,52,51,60,36,46,37,32,52,44,22,43,18,23,50,47,30,49,50,43,20,45,50,44,50,55,47,47,49,35,43,34,59,40,49,53,43,58,37,37,34,22,37,37,33,35,40,3,10,60,22,81,81,52,46,49,55,36,54,46,52,37,43,56,29,46,45,71,45,45,48,59,89,83,32,41,63,47,50,41,55,30,56,37,46,37,65,72,56,38,65,48,56,58,59,51,51,47,57,59,48,40,44,57,47,25,41,42,56,25,47,35,31,44,30,27,44,48,50,52,48,33,49,43,53,44,40,48,39,50,52,54,35,32,76,31,89,70,44,61,54,70,37,43,49,44,59,49,40,48,48,58,34,36,54,39,100,45,59,5,57,29,44,78,39,59,86,67,46,81,80,49,76,52,47,36,58,67,47,63,44,24,61,48,28,56,58,40,35,48,57,45,61,58,48,72,53,46,18,51,44,35,33,15,32,27,32,32,23,34,30,32,28,34,47,50,51,88,63,47,37,21,40,62,40,52,62,71,49,37,49,55,20,54,21,20,52,26,47,45,39,23,23,2,52,48,54,50,47,47,45,47,53,57,49,64
70,49,75,32,59,74,44,63,57,50,90,44,86,40,53,35,45,42,51,48,60,40,35,40,46,43,42,35,64,52,66,53,51,49,57,44,60,30,57,56,71,38,49,52,54,48,64,36,50,42,18,55,44,25,41,20,25,51,48,24,48,56,41,20,48,54,48,49,53,47,47,50,36,42,33,45,45,49,54,50,57,37,38,35,24,39,37,36,35,43,0,9,65,23,86,86,50,48,49,55,37,55,46,48,36,45,70,29,49,45,71,44,48,44,58,90,84,32,40,65,50,52,43,55,30,57,38,68,38,64,74,58,41,67,49,58,60,58,57,51,48,57,63,51,42,47,56,48,37,42,27,53,25,46,37,34,44,33,27,45,44,49,51,49,30,53,45,49,47,43,45,41,52,50,48,27,29,78,32,92,72,46,63,53,78,38,40,58,56,63,51,41,48,48,58,36,36,52,41,47,46,61,6,58,31,43,84,41,62,89,66,45,88,76,52,75,52,49,40,57,59,48,71,47,25,60,47,28,54,58,41,36,49,56,42,61,51,53,71,58,46,20,57,42,36,36,19,36,28,32,33,21,36,40,36,31,35,49,54,52,89,65,53,39,22,44,66,51,50,64,69,51,37,49,54,29,54,22,49,44,33,45,53,42,18,18,2,48,46,53,45,50,44,40,55,52,51,45,57
62,46,65,40,51,70,44,59,58,55,78,45,86,39,48,32,41,33,40,42,55,36,31,38,39,46,39,31,56,45,67,45,45,48,42,43,56,18,50,51,64,35,50,47,47,42,51,46,52,39,18,59,41,30,40,26,51,51,51,23,49,57,43,20,49,50,50,46,54,45,43,49,37,45,35,45,50,50,51,50,49,37,41,34,21,36,38,36,36,42,0,10,61,23,83,83,50,46,41,52,36,54,45,47,36,42,66,28,47,41,64,42,47,39,52,87,75,33,40,52,49,54,46,54,32,56,40,57,37,65,76,56,48,65,48,54,63,56,55,55,46,57,63,48,40,44,52,55,24,41,24,45,23,48,35,32,41,30,30,47,33,43,44,46,28,47,43,46,40,43,38,37,47,44,41,20,25,73,30,90,68,45,56,54,71,37,38,61,59,63,53,43,51,45,59,34,35,50,37,52,46,61,5,62,26,51,78,37,55,84,63,38,85,70,53,64,55,52,42,56,60,52,62,49,32,58,45,29,46,49,37,35,48,52,38,53,38,57,68,61,44,30,70,44,37,45,18,47,62,33,40,30,38,63,50,35,37,46,53,46,81,59,47,37,21,41,59,40,46,58,57,50,32,41,60,47,51,20,58,42,38,40,55,49,15,15,2,42,40,51,35,43,37,37,40,49,42,38,49
68,41,71,29,51,77,46,64,56,80,80,45,88,38,45,31,34,27,36,44,52,37,34,39,34,46,38,27,55,44,62,43,44,46,40,48,54,19,46,50,64,37,49,46,50,43,52,47,59,30,24,57,40,35,38,30,63,50,61,26,53,52,44,21,51,52,50,47,52,47,44,48,38,45,37,47,48,49,51,52,52,37,39,33,21,36,38,33,37,44,5,10,57,22,82,82,53,47,37,51,39,55,46,48,40,45,62,29,45,43,65,44,55,40,54,94,71,35,48,50,50,56,49,53,36,54,40,49,38,67,74,54,50,64,51,52,62,57,57,54,52,56,58,48,40,45,52,51,28,49,19,41,24,46,35,31,39,36,37,50,28,42,45,43,24,48,44,47,42,42,42,40,48,42,36,17,23,74,31,92,71,45,54,53,67,39,39,57,55,59,50,41,50,46,58,36,34,52,37,57,41,58,5,62,30,48,78,33,55,87,63,37,80,71,54,62,58,51,45,55,67,60,62,50,31,53,44,30,44,44,38,33,47,52,36,51,37,58,63,61,43,33,69,42,35,45,18,47,66,35,44,33,38,62,53,33,38,50,61,47,76,59,45,41,22,42,61,35,40,51,63,47,37,42,58,47,46,19,46,31,34,36,54,52,15,15,3,39,41,48,34,42,35,33,36,46,40,38,51
66,48,66,28,51,72,44,66,57,54,78,44,83,42,43,30,31,25,30,39,48,38,29,36,32,45,36,28,51,41,59,38,44,45,40,48,55,20,43,48,59,36,47,47,46,43,47,46,59,33,19,58,41,34,40,29,63,47,53,22,44,53,41,20,45,49,44,43,50,42,43,42,33,41,32,42,44,48,47,47,47,36,36,34,21,42,35,30,31,39,0,10,55,20,73,73,50,40,37,46,35,54,49,46,39,50,58,29,45,39,69,42,50,39,57,94,68,41,44,54,51,50,44,48,29,48,35,49,32,59,68,53,45,62,43,52,58,53,53,49,47,48,54,47,39,44,47,47,21,48,17,38,22,45,39,32,37,32,36,46,26,44,49,43,21,52,44,44,42,42,34,46,51,49,30,14,20,67,30,81,67,44,50,48,74,40,37,51,53,53,49,39,44,50,52,33,31,44,32,42,40,56,6,57,22,40,76,30,52,81,60,35,75,68,54,63,52,45,41,51,63,52,60,50,28,54,44,28,42,42,35,33,42,44,32,45,35,51,59,58,39,28,63,39,34,40,19,40,52,29,41,33,36,56,48,30,36,53,51,45,72,63,47,39,20,54,64,37,37,46,54,47,46,50,53,51,49,16,40,29,30,29,56,47,14,14,2,35,39,49,31,37,34,30,38,39,33,35,46
67,53,69,30,50,76,47,66,61,49,86,45,81,41,46,29,29,23,27,38,49,32,29,38,30,52,36,27,54,40,61,40,45,47,40,57,56,17,45,49,54,41,50,47,50,48,45,47,58,43,21,61,40,33,42,28,50,46,50,21,39,49,37,19,43,48,39,40,48,43,44,40,31,39,28,41,38,53,42,43,56,41,34,36,22,49,34,33,32,42,0,9,55,23,80,80,48,43,34,46,34,57,52,55,52,54,60,29,50,42,76,43,56,44,62,99,76,60,49,54,54,45,42,45,27,44,32,39,32,58,61,53,45,55,39,54,49,54,45,49,46,50,50,53,44,49,50,44,24,50,17,37,26,48,43,40,37,23,54,48,26,45,50,40,18,54,42,43,44,42,41,52,50,42,25,14,18,73,32,89,73,44,54,45,81,41,36,45,45,53,46,38,42,42,51,33,34,46,39,45,50,57,5,57,40,43,80,32,55,83,63,36,76,78,55,76,52,39,40,52,69,50,58,46,27,57,49,29,40,43,33,31,39,45,31,43,38,52,62,57,42,26,61,38,34,36,17,34,41,30,41,32,34,50,45,29,34,60,62,46,71,76,59,52,24,65,67,47,42,44,55,47,59,54,56,48,48,17,33,33,30,27,65,41,13,13,2,38,42,51,34,38,32,30,46,41,38,38,52
66,42,64,40,50,73,47,64,55,50,80,42,84,38,44,29,28,27,33,41,52,35,28,35,30,54,35,22,56,42,65,44,42,41,44,100,65,19,49,58,63,35,47,62,49,47,66,45,64,38,17,59,40,37,38,27,38,48,51,22,42,56,39,20,48,48,42,43,51,44,44,45,34,41,32,40,44,46,50,45,51,36,38,35,23,37,34,31,32,41,0,13,61,44,75,75,48,45,48,49,35,66,46,44,35,46,63,28,46,43,67,42,51,41,51,97,67,34,44,53,52,50,42,51,26,52,34,35,34,66,67,54,43,61,53,53,54,53,46,50,48,59,56,45,43,56,50,51,24,45,15,38,22,44,32,35,37,26,27,44,29,42,48,40,20,47,44,44,44,51,42,43,49,50,25,16,17,74,30,88,68,43,54,45,75,45,38,56,51,62,49,40,45,45,51,35,34,49,37,43,53,58,5,60,34,45,80,33,54,85,64,33,81,68,59,69,51,44,41,56,65,51,62,48,28,56,45,29,49,54,37,41,43,50,38,52,49,50,62,60,43,26,62,39,34,37,17,34,40,30,41,26,39,51,44,28,37,46,50,42,78,59,54,35,21,39,59,45,35,44,46,44,32,41,53,40,45,20,17,30,23,33,66,44,15,15,4,40,43,46,32,38,44,35,38,45,41,49,54
63,43,63,47,47,82,43,61,54,52,80,41,88,36,45,30,29,28,36,41,54,33,29,33,33,53,36,24,55,43,65,43,44,45,45,90,60,18,54,56,65,37,54,57,48,48,61,48,65,31,20,60,39,35,37,32,49,48,51,24,44,54,42,21,50,48,46,45,55,43,43,48,35,43,32,42,46,49,50,46,51,36,41,34,22,36,37,34,35,40,0,11,64,51,78,78,50,46,54,49,33,62,47,44,41,44,63,26,45,44,63,42,50,42,51,100,67,33,43,53,49,52,43,54,28,50,36,40,35,63,72,57,47,61,51,54,59,54,46,51,48,53,56,46,40,55,51,50,23,42,17,38,22,43,33,33,37,25,32,44,31,45,44,39,23,48,42,44,40,46,38,38,47,44,26,16,19,70,30,87,63,46,51,46,72,40,42,56,54,57,48,39,47,44,51,35,36,46,38,42,76,58,5,57,42,41,78,34,53,80,60,30,80,70,60,67,53,47,42,57,68,51,61,49,32,52,46,29,48,52,39,34,45,49,38,53,47,54,62,65,45,30,65,40,36,43,15,41,53,32,50,30,38,61,50,32,39,45,49,43,79,60,50,41,20,38,57,35,37,44,50,45,30,41,61,37,45,20,18,29,20,43,45,40,17,17,39,41,45,49,36,38,40,36,35,44,40,47,55
